Filename,Role,Seniority Level,Skills Match,Link
desc1,Data Scientist,Mid-Senior level,0.8,https://www.linkedin.com/jobs/search/?geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc2,Data Scientist,Associate,0.25,https://www.linkedin.com/jobs/search/?currentJobId=1864611522&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc3,Data Scientist,Entry level,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1889918773&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc4,Junior Data Scientist,Entry level,0.3,https://www.linkedin.com/jobs/search/?currentJobId=1863338213&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc5,Junior Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1893829177&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc6,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1828759317&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc7,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1829649659&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc8,Data Scientist,,,https://www.linkedin.com/jobs/search/?currentJobId=1632872753&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc9,Data Scientist,Associate,,https://www.linkedin.com/jobs/search/?currentJobId=1853755295&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc10,Data Scientist,Mid-Senior level,0.5,https://www.linkedin.com/jobs/search/?currentJobId=1863320360&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc11,Junior Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1893499007&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc12,Graduate Data Scientist,Associate,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1892661371&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc13,Junior Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1790434807&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc14,Data Scientist,Mid-Senior level,0.7,https://www.linkedin.com/jobs/search/?currentJobId=1865938740&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc15,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1799623738&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc16,Data Scientist,Mid-Senior level,,https://www.linkedin.com/jobs/search/?currentJobId=1894137820&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc17,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1861022022&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc18,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1863305814&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc19,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1859398780&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc20,Graduate Data Scientist,Mid-Senior level,,https://www.linkedin.com/jobs/search/?currentJobId=1854170282&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc21,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1861251876&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc22,Data Scientist,Mid-Senior level,0.8,https://www.linkedin.com/jobs/search/?currentJobId=1863177825&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc23,Data Scientist,Mid-Senior level,0.444444444,https://www.linkedin.com/jobs/search/?currentJobId=1863316640&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom
desc24,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1884593102&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc25,Data Scientist,,,https://www.linkedin.com/jobs/search/?currentJobId=1876207231&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc26,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1705464664&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc27,Junior Data Scientist,Associate,0.5,https://www.linkedin.com/jobs/search/?currentJobId=1840723147&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc28,Junior Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1792540789&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc29,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1779642591&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc30,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1778795135&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc31,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1886305684&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc32,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1892433450&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc33,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1798437520&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc34,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1862690006&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc35,Data Scientist,Mid-Senior level,0.2,https://www.linkedin.com/jobs/search/?currentJobId=1842801242&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc36,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1881039075&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc37,Data Scientist,Mid-Senior level,0.777777778,https://www.linkedin.com/jobs/search/?currentJobId=1538119538&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc38,Data Scientist,Mid-Senior level,,https://www.linkedin.com/jobs/search/?currentJobId=1857276112&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc39,Data Scientist,Mid-Senior level,0.4,https://www.linkedin.com/jobs/search/?currentJobId=1864608933&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc40,Data Scientist,Mid-Senior level,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1843024389&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc41,Data Scientist,Mid-Senior level,1,https://www.linkedin.com/jobs/search/?currentJobId=1744006854&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc42,Research Data scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1729531534&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc43,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1888701833&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc44,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1893681891&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc45,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1893860658&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc46,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1833971290&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=25
desc47,Data Scientist,Mid-Senior level,0.625,https://www.linkedin.com/jobs/search/?geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc48,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1764099335&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc49,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1890917055&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc50,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1768143960&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc51,Data Scientist,Entry level,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1868648195&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc52,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1676676305&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc53,Data Scientist,Mid-Senior level,0.5,https://www.linkedin.com/jobs/search/?currentJobId=1878505447&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc54,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1878992644&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc55,Data Scientist,Mid-Senior level,0.2,https://www.linkedin.com/jobs/search/?currentJobId=1869274211&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc56,Data Scientist,Associate,,https://www.linkedin.com/jobs/search/?currentJobId=1738370283&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc57,Data Scientist,Associate,,https://www.linkedin.com/jobs/search/?currentJobId=1857264313&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc58,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1879008410&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc59,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1822950869&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc60,Data Scientist,Mid-Senior level,0.4,https://www.linkedin.com/jobs/search/?currentJobId=1856910449&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc61,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1764079899&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc62,Data Scientist,Mid-Senior level,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1860282946&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc63,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1797729753&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc64,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1864131075&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc65,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1725170773&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=50
desc66,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1857297203&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc67,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1834183279&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc68,Data Scientist,Associate,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1862698650&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc69,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1890778477&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc70,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1763840360&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc71,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1784180313&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc72,Data Scientist,Mid-Senior level,,https://www.linkedin.com/jobs/search/?currentJobId=1794765932&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc73,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1764002069&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc74,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1764011398&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc75,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1764050484&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc76,Data Scientist,Mid-Senior level,0.3,https://www.linkedin.com/jobs/search/?currentJobId=1864689351&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc77,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1879564164&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc78,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1714360388&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc79,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1764151593&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc80,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1876811474&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc81,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1862495494&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc82,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1863195214&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc83,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1696511184&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc84,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1894444811&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc85,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1680240190&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=75
desc86,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1893343843&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc87,Data Scientist,Mid-Senior level,,https://www.linkedin.com/jobs/search/?currentJobId=1857276470&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc88,Data Scientist,Mid-Senior level,0.666666667,https://www.linkedin.com/jobs/search/?currentJobId=1883871205&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc89,Data Scientist,Associate,0.4,https://www.linkedin.com/jobs/search/?currentJobId=1848847461&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc90,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1881266368&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc91,Data Scientist,Associate,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1862634955&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc92,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1889349657&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc93,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1757964412&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc94,Data Scientist,Entry level,0.571428571,https://www.linkedin.com/jobs/search/?currentJobId=1884004600&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc95,Data Scientist,Mid-Senior level,0.2,https://www.linkedin.com/jobs/search/?currentJobId=1856924003&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc96,Data Scientist,Associate,0.75,https://www.linkedin.com/jobs/search/?currentJobId=1853778382&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc97,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1884202807&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc98,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1889535238&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc99,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1861026153&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc100,Data Scientist,Mid-Senior level,0.4,https://www.linkedin.com/jobs/search/?currentJobId=1833956454&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc101,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1881000422&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc102,Data Scientist,Mid-Senior level,0.7,https://www.linkedin.com/jobs/search/?currentJobId=1738819776&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc103,Data Scientist,Mid-Senior level,0.6,https://www.linkedin.com/jobs/search/?currentJobId=1833962424&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=100
desc104,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1826688230&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc105,Data Scientist,Entry level,1,https://www.linkedin.com/jobs/search/?currentJobId=1884528985&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc106,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1896205975&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
desc107,Data Scientist,Entry level,,https://www.linkedin.com/jobs/search/?currentJobId=1793011651&geoId=101165590&keywords=junior%20data%20scientist&location=United%20Kingdom&start=125
